Type,Level,Index,Max,Option,Action,P1,P2,P3,P4,P5,EffectReq,EffectReqInherit
,,,,,,,,,,,,
,,,,,,,,,,,,
//Town Center,,,,,,,,,,,,
2000,1,0,1,,,,,,,,,
2000,1,1,1,,structure_Build,2106,TileCrop,,,,210601,SELF
2000,1,2,1,,structure_Build,2107,TileTree,,,,210701,SELF
2000,1,3,1,,structure_Upgrade,15,,,,,20001,SELF
2000,1,4,1,,road_Build,,,,,,,
2000,1,5,1,,road_Destroy,,,,,,,
,,,,,,,,,,,,
2000,2,3,1,,structure_Upgrade,15,,,,,20003,SELF
2000,2,6,1,,structure_Build,2201,,,,,,
,,,,,,,,,,,,
2000,3,7,1,,structure_Build,2301,,,,,20002,SELF
,,,,,,,,,,,,
2000,4,3,1,,structure_Upgrade,15,,,,,20006,SELF
,,,,,,,,,,,,
2000,5,8,1,,structure_Build,2501,,,,,,
,,,,,,,,,,,,
2000,6,1,1,,structure_Build,2106,TileCrop,,,,,
2000,6,2,1,,structure_Build,2107,TileTree,,,,,
,,,,,,,,,,,,
2000,7,9,1,,technology_upgrade,20001,5,,,,,
,,,,,,,,,,,,
// Farm,,,,,,,,,,,,
2106,1,0,1,,,,,,,,,
2106,1,1,1,,labor_move,,,,,,,
2106,1,2,1,,structure_Upgrade,10,,,,,,
2106,5,3,1,,structure_Build,2202,,,,,,
2106,7,4,1,,technology_upgrade,21061,5,,,,,
,,,,,,,,,,,,
// Lumbermill,,,,,,,,,,,,
2107,1,0,2,,,,,,,,,
2107,1,1,1,,structure_Upgrade,10,,,,,,
2107,1,2,1,,forest_camp_build,2108,,,,,,
2107,2,3,1,,structure_build,2111,,,,,210711,SELF
2107,5,4,1,,technology_upgrade,21071,5,,,,,
,,,,,,,,,,,,
//Refinery,,,,,,,,,,,,
2109,1,0,1,,,,,,,,,
2109,1,1,1,,structure_Upgrade,15,,,,,,
2109,1,2,1,,labor_move,,,,,,,
,,,,,,,,,,,,
// Foundry,,,,,,,,,,,,
2110,1,0,1,,,,,,,,,
2110,1,1,1,,structure_Upgrade,5,,,,,,
2110,1,2,1,,labor_move,,,,,,,
2110,2,3,1,,technology_upgrade,21101,5,,,,21101,SELF
2110,3,4,1,,technology_upgrade,21102,3,,,,,
2110,4,5,1,,technology_upgrade,21103,5,,,,,
2110,5,6,1,,structure_userdowngrade,,,,,,,
2110,6,7,1,,structure_build,2109,,,,,21102,SELF
,,,,,,,,,,,,
// Basement,,,,,,,,,,,,
2111,1,0,1,,,,,,,,,
2111,1,1,1,,structure_Upgrade,3,,,,,,
2111,2,1,1,,structure_Upgrade,10,,,,,21111,UPWARD
,,,,,,,,,,,,
//training ground,,,,,,,,,,,,
2201,1,0,1,,,,,,,,,
2201,1,1,1,,unit_train,11,,,,,,
2201,1,2,1,,structure_Upgrade,15,,,,,,
2201,2,3,1,,structure_Build,2402,,,,,,
2201,3,4,1,,unit_train,12,,,,,22014,UPWARD
2201,4,5,1,,unit_upgrade,11,3,,,,,
2201,4,6,1,,unit_upgrade,12,3,,,,,
2201,5,7,1,,structure_Change,2204,1,,,,,
2201,6,8,1,,technology_Upgrade,22011,1,,,,,
,,,,,,,,,,,,
