Key,EN
GOLD_DESC,Gold\n\nThis rare resource is often used to train advanced military units and to fund research. Gold can be acquired by trading on the market or can be looted from other cities. It takes more time to loot gold than other resources during battle.
WOOD_DESC,Wood\n\nA basic resource used for many purposes. Wood can be harvested from forests scattered throughout the world. 
CROP_DESC,"Crop\n\nA staple resource required for just about everything, including keeping your units alive. Crop can be acquired by laborers through Farms."
LABOR_DESC,"These are the working people in your city. Laborers can be trained into military or to gather most resources. Your city will automatically gain laborers as time passes. However, the more laborers in your city, the longer it will take to get more.  Laborers are very considerate and educated, always ensure the city will not be overpopulated. Currently receiving a laborer every {0}."
IRON_DESC,Iron\n\nAn ore used for advanced tasks. Iron can be acquired through the Refinery.
UPKEEP_DESC,Troop Upkeep\n\nAmount of crop consumed every hour by your military units.
DEFENSE_POINTS_DESC,Defense Points\n\nDefense points are acquired when your units kill enemy units. These points are not only acquired when your city is attacked but also when your units fight while stationed in other player's cities.
ATTACK_POINTS_DESC,Attack Points\n\nAttack points are acquired when you attack and kill enemy units.
INFLUENCE_POINTS_DESC,Influence Points\n\nYour total influence points is the sum of all building levels in all of your cities.
NEW_CITY_DESC,Build a new city here. Requires Ox Wagons and Influence Points. Your total influence points is the sum of all building levels in all of your cities.  All Ox Wagons will be consumed and must come from a single existing city.
UNITS_DESC,Units\n\nStatus of your military units. You can get more information about your units in the 'Unit Movement' screen.
AP_POINTS_DESC,Alignment Rating\n\nShows how aggressive or defensive the city has lately been. Alignment rating goes down when you defeat other enemies and goes up when your city is under significant attacks. Bonuses are given when this number reaches certain thresholds.
,
FARMING_LABEL,Farming
TIME_LEFT_LABEL,Time Left
STR_TROOPS,Troops
STR_REPORTS,Reports
STR_ONGOING_ATTACKS,Attacks
STR_STRONGHOLDS,Strongholds
STR_STRONGHOLDS_UNDER_COMMAND,Strongholds In Command
STR_NAME,Name
STR_LEVEL,Level
STR_NOT_OCCUPIED,Not Occupied
STR_TRIBE,Tribe
STR_GATE,Gate
STR_OCCUPIED,Occupied
STR_VP_RATE,Victory Point Rate
STR_VICTORY_POINT,Victory Point
STR_PER_DAY_RATE,{0} per day
STR_TOTAL_TROOPS,Total Troops
STR_NONE_DEFENDING,None defending
