Key,EN,
TOWNCENTER_STRUCTURE_NAME,Town Center,
TOWNCENTER_STRUCTURE_DESCRIPTION,The Town Center provides the foundation necessary to grow your city.,
TOWNCENTER_STRUCTURE_LVL_1,"Allows building a farm and a lumbermill. Town center can hold a maximum of 700 crop, 700 wood and 0 iron.",
TOWNCENTER_STRUCTURE_LVL_2,"Enables building Barracks. Increases the maximum resources to 880 crop, 880 wood, and 0 iron.",
TOWNCENTER_STRUCTURE_LVL_3,"Allows building University. Increases the maximum resources to 1130 crop, 1360 wood, and 0 iron.",
TOWNCENTER_STRUCTURE_LVL_4,"Ability to build another Farm. Increases the maximum resources to 1450 crop, 1790 wood, and 0 iron.",
TOWNCENTER_STRUCTURE_LVL_5,"Allows building Trading Posts. Increases the maximum resources to 1880 crop, 2320 wood, and 0 iron.",
TOWNCENTER_STRUCTURE_LVL_6,"Increases the maximum resources to 2440 crop, 2960 wood, and 170 iron.",
TOWNCENTER_STRUCTURE_LVL_7,"Increases the maximum resources to 3200 crop, 3740 wood, and 380 iron.  Ability to research Overtime.",
TOWNCENTER_STRUCTURE_LVL_8,"Increases the maximum resources to 4200 crop, 4680 wood, and 620 iron.",
TOWNCENTER_STRUCTURE_LVL_9,"Increases the maximum resources to 5500 crop, 20100 wood, and 900 iron.",
TOWNCENTER_STRUCTURE_LVL_10,"Increases the maximum resources to 7200 crop, 7210 wood, and 1240 iron.",
TOWNCENTER_STRUCTURE_LVL_11,"Increases the maximum resources to 9500 crop, 9500 wood, and 1630 iron.",
TOWNCENTER_STRUCTURE_LVL_12,"Increases the maximum resources to 12500 crop, 12500 wood, and 2090 iron.",
TOWNCENTER_STRUCTURE_LVL_13,"Increases the maximum resources to 16500 crop, 16500 wood, and 2620 iron.",
TOWNCENTER_STRUCTURE_LVL_14,"Increases the maximum resources to 21800 crop, 21800 wood, and 3260 iron.",
TOWNCENTER_STRUCTURE_LVL_15,"Increases the maximum resources to 25000 crop, 25000 wood, and 4000 iron.",
,,
,,
BARRACK_STRUCTURE_NAME,Barrack,
BARRACK_STRUCTURE_DESCRIPTION,Trains advanced military units without requiring laborers.,
BARRACK_STRUCTURE_LVL_1,Allows training Swordsmen.,
BARRACK_STRUCTURE_LVL_2,Improves barrack strength.,
BARRACK_STRUCTURE_LVL_3,Allows training Archers.,
BARRACK_STRUCTURE_LVL_4,Allows upgrading units to level 3,
BARRACK_STRUCTURE_LVL_5,Allows training Hoplite.,
BARRACK_STRUCTURE_LVL_6,Improves barrack strength.,
BARRACK_STRUCTURE_LVL_7,Allows training Gladiator.,
BARRACK_STRUCTURE_LVL_8,Allows upgrading units to level 6,
BARRACK_STRUCTURE_LVL_9,Decreases training time by 5%.,
BARRACK_STRUCTURE_LVL_10,Decreases training time by 10%.,
BARRACK_STRUCTURE_LVL_11,Decreases training time by 15%.,
BARRACK_STRUCTURE_LVL_12,Allows upgrading units to level 10,
BARRACK_STRUCTURE_LVL_13,Decreases training time by 20%.,
BARRACK_STRUCTURE_LVL_14,Decreases training time by 30%.,
BARRACK_STRUCTURE_LVL_15,Decreases training time by 40%.,
,,
TRAINING_GROUND_STRUCTURE_NAME,Training Ground,
