Condition,CP1,CP2,CP3,CP4,CP5,Action,P1,P2,P3,P4,P5,NlsDesc,Comments
,,,,,,,,,,,,,
// main building,,,,,,,,,,,,,
structure_upgrade,Type=2000,Lvl=8,,,,city_radius_change,radius=6,,,,,,
,,,,,,,,,,,,,
// forest camp,,,,,,,,,,,,,
structure_downgrade_or_remove,type=2108,,,,,forest_camp_labor_update,,,,,,,
,,,,,,,,,,,,,
// lumbermill,,,,,,,,,,,,,
structure_upgrade,Type=2107,Lvl=1,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=2,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=3,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=4,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=5,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=6,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=7,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=8,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=9,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=10,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=11,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=12,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=13,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=14,,,,forest_camp_rate_update,,,,,,,
structure_upgrade,Type=2107,Lvl=15,,,,forest_camp_rate_update,,,,,,,
,,,,,,,,,,,,,
structure_downgrade_or_remove,Type=2107,,,,,forest_camp_rate_update,,,,,,,
,,,,,,,,,,,,,
// tribal gathering,,,,,,,,,,,,,
structure_upgrade,Type=3002,Lvl=1,,,,structure_self_destroy,time=28800,,,,,,
structure_upgrade,Type=3002,Lvl=1,,,,technology_create,techid=30021,techlvl=1,time=0,,,,
structure_upgrade,Type=3003,Lvl=1,,,,structure_self_destroy,time=86400,,,,,,
structure_upgrade,Type=3003,Lvl=1,,,,technology_create,techid=30021,techlvl=1,time=0,,,,
structure_upgrade,Type=3004,Lvl=1,,,,structure_self_destroy,time=259200,,,,,,
structure_upgrade,Type=3004,Lvl=1,,,,technology_create,techid=30021,techlvl=1,time=0,,,,
structure_upgrade,Type=3005,Lvl=1,,,,structure_self_destroy,time=604800,,,,,,
structure_upgrade,Type=3005,Lvl=1,,,,technology_create,techid=30021,techlvl=1,time=0,,,,
,,,,,,,,,,,,,
// vineyard,,,,,,,,,,,,,
structure_upgrade,Type=3011,Lvl=1,,,,structure_change,time=!14400,type=3012,lvl=1,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=2,,,,structure_change,time=!14400,type=3012,lvl=2,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=3,,,,structure_change,time=!14400,type=3012,lvl=3,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=4,,,,structure_change,time=!14400,type=3012,lvl=4,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=5,,,,structure_change,time=!14400,type=3012,lvl=5,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=6,,,,structure_change,time=!14400,type=3012,lvl=6,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=7,,,,structure_change,time=!14400,type=3012,lvl=7,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=8,,,,structure_change,time=!14400,type=3012,lvl=8,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=9,,,,structure_change,time=!14400,type=3012,lvl=9,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=10,,,,structure_change,time=!14400,type=3012,lvl=10,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=11,,,,structure_change,time=!14400,type=3012,lvl=11,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=12,,,,structure_change,time=!14400,type=3012,lvl=12,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=13,,,,structure_change,time=!14400,type=3012,lvl=13,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=14,,,,structure_change,time=!14400,type=3012,lvl=14,,,FARMING_LABEL,//changing to mature
structure_upgrade,Type=3011,Lvl=15,,,,structure_change,time=!14400,type=3012,lvl=15,,,FARMING_LABEL,//changing to mature
structure_downgrade,Type=3011,Lvl=1,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=2,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=3,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=4,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=5,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=6,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=7,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=8,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=9,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=10,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=11,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=12,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=13,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=14,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3011,Lvl=15,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_convert,Type=3012,Lvl=1,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=2,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=3,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=4,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=5,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=6,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=7,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=8,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=9,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=10,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=11,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=12,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=13,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=14,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=15,,,,structure_change,time=!21600,3010,1,,,TIME_LEFT_LABEL,//kill field
structure_convert,Type=3012,Lvl=1,,,,property_create,name=Crop,RandomINT,48,72,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=2,,,,property_create,name=Crop,RandomINT,80,120,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=3,,,,property_create,name=Crop,RandomINT,112,168,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=4,,,,property_create,name=Crop,RandomINT,144,216,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=5,,,,property_create,name=Crop,RandomINT,176,264,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=6,,,,property_create,name=Crop,RandomINT,200,300,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=7,,,,property_create,name=Crop,RandomINT,224,336,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=8,,,,property_create,name=Crop,RandomINT,248,372,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=9,,,,property_create,name=Crop,RandomINT,272,408,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=10,,,,property_create,name=Crop,RandomINT,288,432,,,//set crop property to how much player will get
